project_name,configuration,locality,2bhk_price,3bhk_price,3.5bhk_price,average_price,possession_date,updated_on,rera_flag,ready_to_move,builtup_area
DGS Sheetal Kiara,"1, 2 BHK Flats",Goregaon West,₹1.44 C,N/A,N/A,₹24.02 K - 34.05 K/sq.ft,"Dec, 2028",5d ago,Yes,No,N/A
Gurukrupa Marina Enclave,"2, 3 BHK Flats",Malad West,₹1.61 C,₹2.13 C,N/A,₹25.44 K/sq.ft,"Sep, 2019",2w ago,Yes,No,N/A
Inspira Aura,"2, 3 BHK Flats",Borivali West,₹2.28 C,₹3.7 C,N/A,₹34.98 K - ₹37.58 K/sq.ft,"Mar, 2029",N/A,Yes,No,N/A
Runwal Avenue,"1, 1.5, 2, 2.5, 3 BHK Flats",Kanjurmarg East,₹1.26 C,₹2.02 C,N/A,₹26.67 K/sq.ft,"Apr, 2028",2w ago,Yes,No,N/A
Excel Bellissima,"2.5, 3 BHK Flats",Bandra West,N/A,₹8.03 C,N/A,₹51.54 K/sq.ft,"Dec, 2028",2w ago,Yes,No,N/A
Paradigm Antalya,"1, 2, 3.5, 4.5 BHK Flats",Jogeshwari West,₹1.31 C,N/A,₹2.29 C,₹25.48 K/sq.ft,"Dec, 2036",3w ago,Yes,No,N/A
Khandelwal Luxor Wing B,"1, 2 BHK Flats",Borivali West,₹2.12 C,N/A,N/A,₹35.63 K/sq.ft,"Dec, 2027",5d ago,Yes,No,N/A
Alaya,"1, 2, 3 BHK Flats",Jogeshwari West,₹1.46 C,₹2.35 C,N/A,₹26.53 K/sq.ft,"Jun, 2027",6d ago,Yes,No,N/A
Mansarovar Ariana,N/A,N/A,₹53.59 L - 59.91 L,N/A,N/A,₹13.42 K/sq.ft,"Mar, 2027",5d ago,Yes,No,N/A
Mesacon Sohag,"2, 3 BHK Flats",Andheri West,₹1.56 C,₹2.59 C,N/A,₹20 K/sq.ft,"Mar, 2025",N/A,Yes,No,N/A
Kush Symphony,"2, 3 BHK Flats",Mulund West,₹1.39 C,₹1.75 C,N/A,₹24 K/sq.ft,"Jun, 2025",5d ago,Yes,No,N/A
Labharti Labh Shrivalli,"1, 2, 3, 4, 5 BHK Flats",Vile Parle West,₹1.87 C,₹2.83 C,N/A,₹28 K/sq.ft,"Dec, 2018",1d ago,Yes,No,N/A
Kalpataru Advay,"1, 2, 2.5, 3, 4 BHK Flats",Borivali West,₹2.41 C,₹4.53 C,N/A,₹37.82 K/sq.ft,"Jun, 2030",2w ago,Yes,No,N/A
"1 BHK Flat in Vasai East, Vasai",[1 BHK Flat,Vasai East,N/A,N/A,N/A,N/A,N/A,1w ago,No,Yes,625 sq.ft
"2 BHK Flat in Vikhroli West, Mumbai",[2 BHK Flat,Vikhroli West,N/A,N/A,N/A,N/A,N/A,1w ago,Yes,Yes,980 sq.ft
"2 BHK Flat in Virar West, Virar",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1d ago,Yes,Yes,900 sq.ft
Raghav Paradise,"1, 2, 3 BHK Flats",Borivali East,₹1.38 C,₹1.68 C,N/A,₹26 K/sq.ft,"Dec, 2025",N/A,Yes,No,N/A
Reliable Prestige,"1, 2 BHK Flats",Vikhroli East,₹86.76 L - 1.11 C,N/A,N/A,₹17.15 K/sq.ft,"Dec, 2026",2w ago,Yes,No,N/A
Arkade Rare,"2, 2.5, 3 BHK Flats",Bhandup West,₹1.31 C,₹2.42 C,N/A,₹25 K - 26.54 K/sq.ft,"Dec, 2028",5d ago,Yes,No,N/A
Spenta Ornata Amber,"1, 2 BHK Flats",Anushakti Nagar,₹1.33 C,N/A,N/A,₹24.99 K/sq.ft,"Dec, 2029",N/A,Yes,No,N/A
"3 BHK Flat in Vile Parle West, Mumbai",[3 BHK Flat,Vile Parle West,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,1600 sq.ft
Flats,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Dotom Isle,"1, 2, 3 BHK Flats",Malad West,₹1.47 C,₹2.02 C,N/A,₹20.52 K/sq.ft,"Dec, 2024",2w ago,Yes,No,N/A
Vardhman Oasis,"1, 2 BHK Flats",Girgaon,₹1.79 C,N/A,N/A,₹33.24 K/sq.ft,"Dec, 2027",5d ago,Yes,No,N/A
"1 BHK Flat in Vasai East, Vasai",[1 BHK Flat,Vasai East,N/A,N/A,N/A,N/A,N/A,2w ago,Yes,Yes,758 sq.ft
Multistar Autograph Residency,"1, 3 BHK Flat,Duplexes",Andheri West,N/A,₹3.29 C,N/A,N/A,"Dec, 2030",1w ago,Yes,No,N/A
